"year","month","total","time"
2000,1,1307,Jan 2000
2000,2,1182,Feb 2000
2000,3,1406,Mar 2000
2000,4,1507,Apr 2000
2000,5,1631,May 2000
2000,6,1598,Jun 2000
2000,7,1799,Jul 2000
2000,8,1643,Aug 2000
2000,9,1336,Sep 2000
2000,10,1416,Oct 2000
2000,11,1969,Nov 2000
2000,12,1587,Dec 2000
2001,1,1725,Jan 2001
2001,2,1636,Feb 2001
2001,3,1607,Mar 2001
2001,4,1908,Apr 2001
2001,5,1564,May 2001
2001,6,1821,Jun 2001
2001,7,1842,Jul 2001
2001,8,1703,Aug 2001
2001,9,1580,Sep 2001
2001,10,1771,Oct 2001
2001,11,1676,Nov 2001
2001,12,1811,Dec 2001
2002,1,1837,Jan 2002
2002,2,1680,Feb 2002
2002,3,1935,Mar 2002
2002,4,1765,Apr 2002
2002,5,1659,May 2002
2002,6,1775,Jun 2002
2002,7,1632,Jul 2002
2002,8,1691,Aug 2002
2002,9,2096,Sep 2002
2002,10,1948,Oct 2002
2002,11,3588,Nov 2002
2002,12,2047,Dec 2002
2003,1,1837,Jan 2003
2003,2,1770,Feb 2003
2003,3,2251,Mar 2003
2003,4,1969,Apr 2003
2003,5,2050,May 2003
2003,6,2218,Jun 2003
2003,7,1989,Jul 2003
2003,8,2023,Aug 2003
2003,9,1932,Sep 2003
2003,10,1931,Oct 2003
2003,11,2087,Nov 2003
2003,12,2530,Dec 2003
2004,1,2117,Jan 2004
2004,2,2243,Feb 2004
2004,3,2160,Mar 2004
2004,4,1967,Apr 2004
2004,5,2337,May 2004
2004,6,2022,Jun 2004
2004,7,1981,Jul 2004
2004,8,2229,Aug 2004
2004,9,2621,Sep 2004
2004,10,2674,Oct 2004
2004,11,2498,Nov 2004
2004,12,2923,Dec 2004
2005,1,3279,Jan 2005
2005,2,2136,Feb 2005
2005,3,2915,Mar 2005
2005,4,3036,Apr 2005
2005,5,2604,May 2005
2005,6,2598,Jun 2005
2005,7,2439,Jul 2005
2005,8,2320,Aug 2005
2005,9,2435,Sep 2005
2005,10,2969,Oct 2005
2005,11,2261,Nov 2005
2005,12,2348,Dec 2005
2006,1,2242,Jan 2006
2006,2,2178,Feb 2006
2006,3,2709,Mar 2006
2006,4,2843,Apr 2006
2006,5,2896,May 2006
2006,6,3444,Jun 2006
2006,7,2925,Jul 2006
2006,8,2671,Aug 2006
2006,9,2346,Sep 2006
2006,10,2564,Oct 2006
2006,11,3208,Nov 2006
2006,12,2477,Dec 2006
2007,1,2733,Jan 2007
2007,2,1988,Feb 2007
2007,3,2467,Mar 2007
2007,4,3196,Apr 2007
2007,5,2420,May 2007
2007,6,2332,Jun 2007
2007,7,2653,Jul 2007
2007,8,3113,Aug 2007
2007,9,2662,Sep 2007
2007,10,2676,Oct 2007
2007,11,2202,Nov 2007
2007,12,2574,Dec 2007
2008,1,2355,Jan 2008
2008,2,2966,Feb 2008
2008,3,2903,Mar 2008
2008,4,2878,Apr 2008
2008,5,3381,May 2008
2008,6,3134,Jun 2008
2008,7,2867,Jul 2008
2008,8,3066,Aug 2008
2008,9,2132,Sep 2008
2008,10,2688,Oct 2008
2008,11,2389,Nov 2008
2008,12,2305,Dec 2008
2009,1,1603,Jan 2009
2009,2,1323,Feb 2009
2009,3,1293,Mar 2009
2009,4,1257,Apr 2009
2009,5,1178,May 2009
2009,6,1212,Jun 2009
2009,7,1221,Jul 2009
2009,8,1398,Aug 2009
2009,9,1168,Sep 2009
2009,10,1720,Oct 2009
2009,11,1168,Nov 2009
2009,12,1113,Dec 2009
2010,1,1447,Jan 2010
2010,2,1690,Feb 2010
2010,3,2113,Mar 2010
2010,4,3766,Apr 2010
2010,5,1764,May 2010
2010,6,1645,Jun 2010
2010,7,3214,Jul 2010
2010,8,2037,Aug 2010
2010,9,1676,Sep 2010
2010,10,1675,Oct 2010
2010,11,1747,Nov 2010
2010,12,2290,Dec 2010
2011,1,1785,Jan 2011
2011,2,1482,Feb 2011
2011,3,4264,Mar 2011
2011,4,2090,Apr 2011
2011,5,1914,May 2011
2011,6,1723,Jun 2011
2011,7,2034,Jul 2011
2011,8,1769,Aug 2011
2011,9,1632,Sep 2011
2011,10,1568,Oct 2011
2011,11,1647,Nov 2011
2011,12,1385,Dec 2011
2012,1,1490,Jan 2012
2012,2,1584,Feb 2012
2012,3,1609,Mar 2012
2012,4,1944,Apr 2012
2012,5,1546,May 2012
2012,6,1392,Jun 2012
2012,7,1419,Jul 2012
2012,8,1880,Aug 2012
2012,9,2213,Sep 2012
2012,10,1718,Oct 2012
2012,11,1608,Nov 2012
2012,12,1546,Dec 2012
2013,1,1753,Jan 2013
2013,2,1960,Feb 2013
2013,3,1383,Mar 2013
2013,4,1618,Apr 2013
2013,5,1779,May 2013
2013,6,1456,Jun 2013
2013,7,1574,Jul 2013
2013,8,1696,Aug 2013
2013,9,1728,Sep 2013
2013,10,1688,Oct 2013
2013,11,2096,Nov 2013
2013,12,1896,Dec 2013
2014,1,2416,Jan 2014
2014,2,1828,Feb 2014
2014,3,2349,Mar 2014
2014,4,2896,Apr 2014
2014,5,2306,May 2014
2014,6,2856,Jun 2014
2014,7,2434,Jul 2014
2014,8,2223,Aug 2014
2014,9,2105,Sep 2014
2014,10,2390,Oct 2014
2014,11,2677,Nov 2014
2014,12,2171,Dec 2014
2015,1,2219,Jan 2015
2015,2,1946,Feb 2015
2015,3,2118,Mar 2015
2015,4,2016,Apr 2015
2015,5,2438,May 2015
2015,6,1946,Jun 2015
2015,7,2573,Jul 2015
2015,8,2285,Aug 2015
2015,9,2971,Sep 2015
2015,10,2141,Oct 2015
2015,11,2341,Nov 2015
2015,12,2067,Dec 2015
2016,1,2291,Jan 2016
2016,2,2011,Feb 2016
2016,3,1895,Mar 2016
2016,4,2379,Apr 2016
2016,5,1979,May 2016
2016,6,1983,Jun 2016
2016,7,1917,Jul 2016
2016,8,2108,Aug 2016
2016,9,2337,Sep 2016
2016,10,1828,Oct 2016
2016,11,2186,Nov 2016
2016,12,2354,Dec 2016
2017,1,3664,Jan 2017
2017,2,2840,Feb 2017
2017,3,3376,Mar 2017
2017,4,3828,Apr 2017
2017,5,5772,May 2017
2017,6,3430,Jun 2017
