"year","total","time"
2000,66,Jan 2000
2000,42,Feb 2000
2000,37,Mar 2000
2000,55,Apr 2000
2000,64,May 2000
2000,51,Jun 2000
2000,58,Jul 2000
2000,44,Aug 2000
2000,42,Sep 2000
2000,48,Oct 2000
2000,27,Nov 2000
2000,51,Dec 2000
2001,72,Jan 2001
2001,86,Feb 2001
2001,66,Mar 2001
2001,88,Apr 2001
2001,56,May 2001
2001,54,Jun 2001
2001,60,Jul 2001
2001,58,Aug 2001
2001,58,Sep 2001
2001,44,Oct 2001
2001,91,Nov 2001
2001,60,Dec 2001
2002,47,Jan 2002
2002,48,Feb 2002
2002,105,Mar 2002
2002,65,Apr 2002
2002,69,May 2002
2002,54,Jun 2002
2002,51,Jul 2002
2002,56,Aug 2002
2002,34,Sep 2002
2002,45,Oct 2002
2002,118,Nov 2002
2002,60,Dec 2002
2003,47,Jan 2003
2003,71,Feb 2003
2003,68,Mar 2003
2003,56,Apr 2003
2003,62,May 2003
2003,29,Jun 2003
2003,52,Jul 2003
2003,52,Aug 2003
2003,119,Sep 2003
2003,148,Oct 2003
2003,75,Nov 2003
2003,69,Dec 2003
2004,53,Jan 2004
2004,57,Feb 2004
2004,78,Mar 2004
2004,65,Apr 2004
2004,77,May 2004
2004,69,Jun 2004
2004,80,Jul 2004
2004,81,Aug 2004
2004,68,Sep 2004
2004,84,Oct 2004
2004,77,Nov 2004
2004,45,Dec 2004
2005,49,Jan 2005
2005,57,Feb 2005
2005,65,Mar 2005
2005,86,Apr 2005
2005,69,May 2005
2005,63,Jun 2005
2005,52,Jul 2005
2005,69,Aug 2005
2005,71,Sep 2005
2005,591,Oct 2005
2005,115,Nov 2005
2005,93,Dec 2005
2006,98,Jan 2006
2006,110,Feb 2006
2006,111,Mar 2006
2006,103,Apr 2006
2006,75,May 2006
2006,62,Jun 2006
2006,80,Jul 2006
2006,88,Aug 2006
2006,58,Sep 2006
2006,55,Oct 2006
2006,64,Nov 2006
2006,57,Dec 2006
2007,59,Jan 2007
2007,79,Feb 2007
2007,61,Mar 2007
2007,82,Apr 2007
2007,106,May 2007
2007,87,Jun 2007
2007,88,Jul 2007
2007,80,Aug 2007
2007,58,Sep 2007
2007,70,Oct 2007
2007,96,Nov 2007
2007,84,Dec 2007
2008,144,Jan 2008
2008,91,Feb 2008
2008,234,Mar 2008
2008,124,Apr 2008
2008,821,May 2008
2008,260,Jun 2008
2008,153,Jul 2008
2008,221,Aug 2008
2008,149,Sep 2008
2008,357,Oct 2008
2008,186,Nov 2008
2008,151,Dec 2008
2009,52,Jan 2009
2009,28,Feb 2009
2009,29,Mar 2009
2009,33,Apr 2009
2009,18,May 2009
2009,28,Jun 2009
2009,29,Jul 2009
2009,47,Aug 2009
2009,44,Sep 2009
2009,30,Oct 2009
2009,36,Nov 2009
2009,36,Dec 2009
2010,26,Jan 2010
2010,33,Feb 2010
2010,35,Mar 2010
2010,61,Apr 2010
2010,36,May 2010
2010,63,Jun 2010
2010,38,Jul 2010
2010,33,Aug 2010
2010,29,Sep 2010
2010,39,Oct 2010
2010,36,Nov 2010
2010,21,Dec 2010
2011,42,Jan 2011
2011,37,Feb 2011
2011,46,Mar 2011
2011,40,Apr 2011
2011,42,May 2011
2011,44,Jun 2011
2011,30,Jul 2011
2011,46,Aug 2011
2011,34,Sep 2011
2011,52,Oct 2011
2011,34,Nov 2011
2011,55,Dec 2011
2012,38,Jan 2012
2012,65,Feb 2012
2012,75,Mar 2012
2012,36,Apr 2012
2012,52,May 2012
2012,56,Jun 2012
2012,56,Jul 2012
2012,47,Aug 2012
2012,49,Sep 2012
2012,58,Oct 2012
2012,66,Nov 2012
2012,50,Dec 2012
2013,51,Jan 2013
2013,55,Feb 2013
2013,44,Mar 2013
2013,106,Apr 2013
2013,57,May 2013
2013,41,Jun 2013
2013,70,Jul 2013
2013,87,Aug 2013
2013,99,Sep 2013
2013,60,Oct 2013
2013,70,Nov 2013
2013,69,Dec 2013
2014,50,Jan 2014
2014,58,Feb 2014
2014,51,Mar 2014
2014,45,Apr 2014
2014,71,May 2014
2014,53,Jun 2014
2014,52,Jul 2014
2014,79,Aug 2014
2014,70,Sep 2014
2014,56,Oct 2014
2014,74,Nov 2014
2014,49,Dec 2014
2015,42,Jan 2015
2015,49,Feb 2015
2015,42,Mar 2015
2015,172,Apr 2015
2015,174,May 2015
2015,68,Jun 2015
2015,101,Jul 2015
2015,77,Aug 2015
2015,69,Sep 2015
2015,105,Oct 2015
2015,64,Nov 2015
2015,83,Dec 2015
2016,66,Jan 2016
2016,56,Feb 2016
2016,63,Mar 2016
2016,55,Apr 2016
2016,78,May 2016
2016,107,Jun 2016
2016,71,Jul 2016
2016,79,Aug 2016
2016,49,Sep 2016
2016,51,Oct 2016
2016,66,Nov 2016
2016,67,Dec 2016
2017,130,Jan 2017
2017,84,Feb 2017
2017,122,Mar 2017
2017,110,Apr 2017
2017,130,May 2017
2017,102,Jun 2017
2017,53,Jul 2017
2017,71,Aug 2017
2017,32,Sep 2017
2017,31,Oct 2017
2017,54,Nov 2017
2017,55,Dec 2017
2018,75,Jan 2018
2018,43,Feb 2018
2018,52,Mar 2018
2018,61,Apr 2018
2018,60,May 2018
2018,59,Jun 2018
2018,48,Jul 2018
2018,56,Aug 2018
2018,48,Sep 2018
2018,71,Oct 2018
2018,54,Nov 2018
2018,52,Dec 2018
2019,58,Jan 2019
2019,46,Feb 2019
2019,52,Mar 2019
2019,41,Apr 2019
2019,36,May 2019
2019,59,Jun 2019
2019,55,Jul 2019
2019,58,Aug 2019
2019,61,Sep 2019
2019,54,Oct 2019
2019,62,Nov 2019
2019,72,Dec 2019
2020,70,Jan 2020
2020,50,Feb 2020
2020,58,Mar 2020
2020,74,Apr 2020
2020,60,May 2020
2020,66,Jun 2020
2020,119,Jul 2020
2020,73,Aug 2020
2020,58,Sep 2020
2020,73,Oct 2020
2020,59,Nov 2020
2020,45,Dec 2020
2021,92,Jan 2021
2021,63,Feb 2021
2021,55,Mar 2021
2021,52,Apr 2021
2021,127,May 2021
2021,59,Jun 2021
2021,74,Jul 2021
2021,71,Aug 2021
2021,65,Sep 2021
2021,64,Oct 2021
2021,61,Nov 2021
2021,77,Dec 2021
2022,74,Jan 2022
2022,45,Feb 2022
2022,69,Mar 2022
2022,44,Apr 2022
2022,53,May 2022
2022,72,Jun 2022
2022,80,Jul 2022
2022,56,Aug 2022
2022,70,Sep 2022
2022,61,Oct 2022
2022,70,Nov 2022
2022,73,Dec 2022
2023,62,Jan 2023
2023,77,Feb 2023
2023,74,Mar 2023
