"year","total","time"
2000,43,Jan 2000
2000,68,Feb 2000
2000,57,Mar 2000
2000,73,Apr 2000
2000,74,May 2000
2000,79,Jun 2000
2000,98,Jul 2000
2000,54,Aug 2000
2000,60,Sep 2000
2000,72,Oct 2000
2000,42,Nov 2000
2000,42,Dec 2000
2001,68,Jan 2001
2001,39,Feb 2001
2001,94,Mar 2001
2001,104,Apr 2001
2001,60,May 2001
2001,64,Jun 2001
2001,71,Jul 2001
2001,71,Aug 2001
2001,53,Sep 2001
2001,76,Oct 2001
2001,59,Nov 2001
2001,118,Dec 2001
2002,81,Jan 2002
2002,84,Feb 2002
2002,90,Mar 2002
2002,117,Apr 2002
2002,55,May 2002
2002,78,Jun 2002
2002,76,Jul 2002
2002,74,Aug 2002
2002,56,Sep 2002
2002,73,Oct 2002
2002,66,Nov 2002
2002,48,Dec 2002
2003,48,Jan 2003
2003,39,Feb 2003
2003,52,Mar 2003
2003,61,Apr 2003
2003,64,May 2003
2003,64,Jun 2003
2003,119,Jul 2003
2003,147,Aug 2003
2003,65,Sep 2003
2003,62,Oct 2003
2003,59,Nov 2003
2003,60,Dec 2003
2004,64,Jan 2004
2004,64,Feb 2004
2004,80,Mar 2004
2004,96,Apr 2004
2004,131,May 2004
2004,95,Jun 2004
2004,80,Jul 2004
2004,93,Aug 2004
2004,130,Sep 2004
2004,82,Oct 2004
2004,73,Nov 2004
2004,78,Dec 2004
2005,60,Jan 2005
2005,92,Feb 2005
2005,108,Mar 2005
2005,99,Apr 2005
2005,228,May 2005
2005,105,Jun 2005
2005,74,Jul 2005
2005,74,Aug 2005
2005,250,Sep 2005
2005,44,Oct 2005
2005,69,Nov 2005
2005,97,Dec 2005
2006,71,Jan 2006
2006,142,Feb 2006
2006,114,Mar 2006
2006,97,Apr 2006
2006,107,May 2006
2006,133,Jun 2006
2006,91,Jul 2006
2006,111,Aug 2006
2006,83,Sep 2006
2006,71,Oct 2006
2006,88,Nov 2006
2006,62,Dec 2006
2007,78,Jan 2007
2007,85,Feb 2007
2007,91,Mar 2007
2007,141,Apr 2007
2007,73,May 2007
2007,85,Jun 2007
2007,117,Jul 2007
2007,178,Aug 2007
2007,84,Sep 2007
2007,73,Oct 2007
2007,85,Nov 2007
2007,93,Dec 2007
2008,62,Jan 2008
2008,112,Feb 2008
2008,84,Mar 2008
2008,105,Apr 2008
2008,99,May 2008
2008,58,Jun 2008
2008,77,Jul 2008
2008,152,Aug 2008
2008,108,Sep 2008
2008,80,Oct 2008
2008,79,Nov 2008
2008,77,Dec 2008
2009,72,Jan 2009
2009,68,Feb 2009
2009,68,Mar 2009
2009,69,Apr 2009
2009,69,May 2009
2009,68,Jun 2009
2009,69,Jul 2009
2009,39,Aug 2009
2009,36,Sep 2009
2009,74,Oct 2009
2009,88,Nov 2009
2009,89,Dec 2009
2010,71,Jan 2010
2010,61,Feb 2010
2010,56,Mar 2010
2010,62,Apr 2010
2010,69,May 2010
2010,70,Jun 2010
2010,72,Jul 2010
2010,74,Aug 2010
2010,60,Sep 2010
2010,76,Oct 2010
2010,202,Nov 2010
2010,121,Dec 2010
2011,103,Jan 2011
2011,67,Feb 2011
2011,83,Mar 2011
2011,59,Apr 2011
2011,83,May 2011
2011,123,Jun 2011
2011,55,Jul 2011
2011,73,Aug 2011
2011,83,Sep 2011
2011,106,Oct 2011
2011,63,Nov 2011
2011,85,Dec 2011
2012,84,Jan 2012
2012,74,Feb 2012
2012,80,Mar 2012
2012,70,Apr 2012
2012,77,May 2012
2012,76,Jun 2012
2012,81,Jul 2012
2012,112,Aug 2012
2012,85,Sep 2012
2012,70,Oct 2012
2012,58,Nov 2012
2012,66,Dec 2012
2013,142,Jan 2013
2013,80,Feb 2013
2013,113,Mar 2013
2013,98,Apr 2013
2013,77,May 2013
2013,86,Jun 2013
2013,120,Jul 2013
2013,80,Aug 2013
2013,82,Sep 2013
2013,95,Oct 2013
2013,359,Nov 2013
2013,127,Dec 2013
2014,108,Jan 2014
2014,99,Feb 2014
2014,111,Mar 2014
2014,82,Apr 2014
2014,109,May 2014
2014,229,Jun 2014
2014,150,Jul 2014
2014,142,Aug 2014
2014,180,Sep 2014
2014,266,Oct 2014
2014,291,Nov 2014
2014,171,Dec 2014
2015,149,Jan 2015
2015,99,Feb 2015
2015,79,Mar 2015
2015,89,Apr 2015
2015,113,May 2015
2015,83,Jun 2015
2015,118,Jul 2015
2015,121,Aug 2015
2015,106,Sep 2015
2015,94,Oct 2015
