"year","total","time"
2000,183,Jan 2000
2000,138,Feb 2000
2000,142,Mar 2000
2000,149,Apr 2000
2000,150,May 2000
2000,135,Jun 2000
2000,149,Jul 2000
2000,190,Aug 2000
2000,142,Sep 2000
2000,179,Oct 2000
2000,843,Nov 2000
2000,290,Dec 2000
2001,253,Jan 2001
2001,272,Feb 2001
2001,240,Mar 2001
2001,207,Apr 2001
2001,184,May 2001
2001,137,Jun 2001
2001,138,Jul 2001
2001,265,Aug 2001
2001,227,Sep 2001
2001,236,Oct 2001
2001,210,Nov 2001
2001,166,Dec 2001
2002,259,Jan 2002
2002,175,Feb 2002
2002,201,Mar 2002
2002,165,Apr 2002
2002,151,May 2002
2002,190,Jun 2002
2002,134,Jul 2002
2002,223,Aug 2002
2002,239,Sep 2002
2002,197,Oct 2002
2002,174,Nov 2002
2002,175,Dec 2002
2003,157,Jan 2003
2003,152,Feb 2003
2003,183,Mar 2003
2003,178,Apr 2003
2003,146,May 2003
2003,179,Jun 2003
2003,186,Jul 2003
2003,248,Aug 2003
2003,258,Sep 2003
2003,226,Oct 2003
2003,212,Nov 2003
2003,323,Dec 2003
2004,276,Jan 2004
2004,173,Feb 2004
2004,271,Mar 2004
2004,296,Apr 2004
2004,322,May 2004
2004,258,Jun 2004
2004,250,Jul 2004
2004,248,Aug 2004
2004,242,Sep 2004
2004,257,Oct 2004
2004,336,Nov 2004
2004,271,Dec 2004
2005,164,Jan 2005
2005,186,Feb 2005
2005,296,Mar 2005
2005,244,Apr 2005
2005,258,May 2005
2005,225,Jun 2005
2005,244,Jul 2005
2005,217,Aug 2005
2005,344,Sep 2005
2005,245,Oct 2005
2005,227,Nov 2005
2005,262,Dec 2005
2006,287,Jan 2006
2006,270,Feb 2006
2006,316,Mar 2006
2006,377,Apr 2006
2006,459,May 2006
2006,283,Jun 2006
2006,374,Jul 2006
2006,293,Aug 2006
2006,313,Sep 2006
2006,288,Oct 2006
2006,476,Nov 2006
2006,252,Dec 2006
2007,246,Jan 2007
2007,186,Feb 2007
2007,278,Mar 2007
2007,708,Apr 2007
2007,289,May 2007
2007,292,Jun 2007
2007,283,Jul 2007
2007,291,Aug 2007
2007,416,Sep 2007
2007,364,Oct 2007
2007,260,Nov 2007
2007,271,Dec 2007
2008,281,Jan 2008
2008,248,Feb 2008
2008,222,Mar 2008
2008,365,Apr 2008
2008,196,May 2008
2008,270,Jun 2008
2008,306,Jul 2008
2008,238,Aug 2008
2008,238,Sep 2008
2008,315,Oct 2008
2008,308,Nov 2008
2008,379,Dec 2008
2009,209,Jan 2009
2009,123,Feb 2009
2009,202,Mar 2009
2009,122,Apr 2009
2009,130,May 2009
2009,149,Jun 2009
2009,219,Jul 2009
2009,181,Aug 2009
2009,219,Sep 2009
2009,508,Oct 2009
2009,154,Nov 2009
2009,133,Dec 2009
2010,247,Jan 2010
2010,147,Feb 2010
2010,133,Mar 2010
2010,130,Apr 2010
2010,177,May 2010
2010,145,Jun 2010
2010,247,Jul 2010
2010,287,Aug 2010
2010,347,Sep 2010
2010,192,Oct 2010
2010,175,Nov 2010
2010,330,Dec 2010
2011,344,Jan 2011
2011,266,Feb 2011
2011,199,Mar 2011
2011,206,Apr 2011
2011,283,May 2011
2011,237,Jun 2011
2011,445,Jul 2011
2011,317,Aug 2011
2011,203,Sep 2011
2011,219,Oct 2011
2011,240,Nov 2011
2011,228,Dec 2011
2012,276,Jan 2012
2012,366,Feb 2012
2012,235,Mar 2012
2012,179,Apr 2012
2012,157,May 2012
2012,202,Jun 2012
2012,205,Jul 2012
2012,197,Aug 2012
2012,132,Sep 2012
2012,161,Oct 2012
2012,181,Nov 2012
2012,145,Dec 2012
2013,156,Jan 2013
2013,838,Feb 2013
2013,200,Mar 2013
2013,169,Apr 2013
2013,168,May 2013
2013,158,Jun 2013
2013,250,Jul 2013
2013,249,Aug 2013
2013,163,Sep 2013
2013,228,Oct 2013
2013,297,Nov 2013
2013,269,Dec 2013
2014,296,Jan 2014
2014,269,Feb 2014
2014,289,Mar 2014
2014,854,Apr 2014
2014,417,May 2014
2014,470,Jun 2014
2014,439,Jul 2014
2014,302,Aug 2014
2014,284,Sep 2014
2014,358,Oct 2014
2014,299,Nov 2014
2014,322,Dec 2014
2015,242,Jan 2015
2015,257,Feb 2015
2015,301,Mar 2015
2015,286,Apr 2015
2015,606,May 2015
2015,341,Jun 2015
2015,351,Jul 2015
2015,314,Aug 2015
2015,347,Sep 2015
2015,312,Oct 2015
2015,243,Nov 2015
2015,272,Dec 2015
2016,273,Jan 2016
2016,264,Feb 2016
2016,240,Mar 2016
2016,406,Apr 2016
2016,305,May 2016
2016,286,Jun 2016
2016,281,Jul 2016
2016,346,Aug 2016
2016,490,Sep 2016
2016,266,Oct 2016
2016,539,Nov 2016
2016,803,Dec 2016
2017,736,Jan 2017
2017,466,Feb 2017
2017,540,Mar 2017
2017,472,Apr 2017
2017,486,May 2017
2017,452,Jun 2017
2017,280,Jul 2017
2017,228,Aug 2017
2017,204,Sep 2017
2017,274,Oct 2017
2017,547,Nov 2017
2017,237,Dec 2017
2018,229,Jan 2018
2018,171,Feb 2018
2018,237,Mar 2018
2018,222,Apr 2018
2018,233,May 2018
2018,237,Jun 2018
2018,168,Jul 2018
2018,560,Aug 2018
2018,406,Sep 2018
2018,347,Oct 2018
2018,251,Nov 2018
2018,482,Dec 2018
2019,258,Jan 2019
2019,181,Feb 2019
2019,285,Mar 2019
2019,238,Apr 2019
2019,276,May 2019
2019,395,Jun 2019
2019,279,Jul 2019
2019,250,Aug 2019
2019,231,Sep 2019
2019,234,Oct 2019
2019,207,Nov 2019
2019,278,Dec 2019
2020,261,Jan 2020
2020,214,Feb 2020
2020,280,Mar 2020
2020,286,Apr 2020
2020,311,May 2020
2020,364,Jun 2020
2020,288,Jul 2020
2020,292,Aug 2020
2020,242,Sep 2020
2020,264,Oct 2020
2020,208,Nov 2020
2020,271,Dec 2020
2021,263,Jan 2021
2021,649,Feb 2021
2021,1200,Mar 2021
2021,434,Apr 2021
2021,317,May 2021
2021,276,Jun 2021
2021,310,Jul 2021
2021,259,Aug 2021
2021,284,Sep 2021
2021,279,Oct 2021
2021,293,Nov 2021
2021,268,Dec 2021
2022,413,Jan 2022
2022,345,Feb 2022
2022,399,Mar 2022
2022,304,Apr 2022
2022,295,May 2022
2022,269,Jun 2022
2022,237,Jul 2022
2022,513,Aug 2022
2022,306,Sep 2022
2022,236,Oct 2022
2022,371,Nov 2022
2022,239,Dec 2022
2023,259,Jan 2023
2023,225,Feb 2023
2023,332,Mar 2023
