"year","month","total","time"
2000,1,476,Jan 2000
2000,2,441,Feb 2000
2000,3,478,Mar 2000
2000,4,397,Apr 2000
2000,5,515,May 2000
2000,6,410,Jun 2000
2000,7,425,Jul 2000
2000,8,426,Aug 2000
2000,9,425,Sep 2000
2000,10,406,Oct 2000
2000,11,375,Nov 2000
2000,12,478,Dec 2000
2001,1,553,Jan 2001
2001,2,435,Feb 2001
2001,3,489,Mar 2001
2001,4,563,Apr 2001
2001,5,506,May 2001
2001,6,460,Jun 2001
2001,7,628,Jul 2001
2001,8,479,Aug 2001
2001,9,538,Sep 2001
2001,10,524,Oct 2001
2001,11,549,Nov 2001
2001,12,582,Dec 2001
2002,1,600,Jan 2002
2002,2,557,Feb 2002
2002,3,629,Mar 2002
2002,4,521,Apr 2002
2002,5,570,May 2002
2002,6,580,Jun 2002
2002,7,516,Jul 2002
2002,8,523,Aug 2002
2002,9,461,Sep 2002
2002,10,488,Oct 2002
2002,11,2343,Nov 2002
2002,12,755,Dec 2002
2003,1,767,Jan 2003
2003,2,711,Feb 2003
2003,3,702,Mar 2003
2003,4,545,Apr 2003
2003,5,529,May 2003
2003,6,469,Jun 2003
2003,7,482,Jul 2003
2003,8,470,Aug 2003
2003,9,480,Sep 2003
2003,10,482,Oct 2003
2003,11,511,Nov 2003
2003,12,1074,Dec 2003
2004,1,784,Jan 2004
2004,2,598,Feb 2004
2004,3,574,Mar 2004
2004,4,488,Apr 2004
2004,5,504,May 2004
2004,6,558,Jun 2004
2004,7,493,Jul 2004
2004,8,516,Aug 2004
2004,9,907,Sep 2004
2004,10,1046,Oct 2004
2004,11,607,Nov 2004
2004,12,558,Dec 2004
2005,1,554,Jan 2005
2005,2,569,Feb 2005
2005,3,636,Mar 2005
2005,4,554,Apr 2005
2005,5,579,May 2005
2005,6,694,Jun 2005
2005,7,600,Jul 2005
2005,8,656,Aug 2005
2005,9,649,Sep 2005
2005,10,594,Oct 2005
2005,11,580,Nov 2005
2005,12,563,Dec 2005
2006,1,663,Jan 2006
2006,2,612,Feb 2006
2006,3,777,Mar 2006
2006,4,558,Apr 2006
2006,5,688,May 2006
2006,6,681,Jun 2006
2006,7,787,Jul 2006
2006,8,770,Aug 2006
2006,9,648,Sep 2006
2006,10,645,Oct 2006
2006,11,654,Nov 2006
2006,12,597,Dec 2006
2007,1,678,Jan 2007
2007,2,556,Feb 2007
2007,3,611,Mar 2007
2007,4,728,Apr 2007
2007,5,569,May 2007
2007,6,678,Jun 2007
2007,7,721,Jul 2007
2007,8,927,Aug 2007
2007,9,689,Sep 2007
2007,10,880,Oct 2007
2007,11,619,Nov 2007
2007,12,991,Dec 2007
2008,1,678,Jan 2008
2008,2,1108,Feb 2008
2008,3,932,Mar 2008
2008,4,1106,Apr 2008
2008,5,920,May 2008
2008,6,679,Jun 2008
2008,7,722,Jul 2008
2008,8,1061,Aug 2008
2008,9,623,Sep 2008
2008,10,885,Oct 2008
2008,11,972,Nov 2008
2008,12,734,Dec 2008
2009,1,638,Jan 2009
2009,2,507,Feb 2009
2009,3,631,Mar 2009
2009,4,611,Apr 2009
2009,5,637,May 2009
