"year","total","time"
2000,110,Jan 2000
2000,140,Feb 2000
2000,187,Mar 2000
2000,154,Apr 2000
2000,159,May 2000
2000,159,Jun 2000
2000,176,Jul 2000
2000,188,Aug 2000
2000,154,Sep 2000
2000,162,Oct 2000
2000,170,Nov 2000
2000,174,Dec 2000
2001,229,Jan 2001
2001,203,Feb 2001
2001,184,Mar 2001
2001,354,Apr 2001
2001,234,May 2001
2001,405,Jun 2001
2001,301,Jul 2001
2001,221,Aug 2001
2001,173,Sep 2001
2001,318,Oct 2001
2001,329,Nov 2001
2001,385,Dec 2001
2002,328,Jan 2002
2002,278,Feb 2002
2002,304,Mar 2002
2002,283,Apr 2002
2002,239,May 2002
2002,223,Jun 2002
2002,240,Jul 2002
2002,219,Aug 2002
2002,212,Sep 2002
2002,254,Oct 2002
2002,263,Nov 2002
2002,272,Dec 2002
2003,157,Jan 2003
2003,210,Feb 2003
2003,305,Mar 2003
2003,294,Apr 2003
2003,291,May 2003
2003,618,Jun 2003
2003,374,Jul 2003
2003,244,Aug 2003
2003,264,Sep 2003
2003,281,Oct 2003
2003,199,Nov 2003
2003,222,Dec 2003
2004,211,Jan 2004
2004,182,Feb 2004
2004,224,Mar 2004
2004,232,Apr 2004
2004,248,May 2004
2004,194,Jun 2004
2004,225,Jul 2004
2004,291,Aug 2004
2004,281,Sep 2004
2004,262,Oct 2004
2004,250,Nov 2004
2004,267,Dec 2004
2005,279,Jan 2005
2005,237,Feb 2005
2005,282,Mar 2005
2005,230,Apr 2005
2005,254,May 2005
2005,359,Jun 2005
2005,330,Jul 2005
2005,288,Aug 2005
2005,271,Sep 2005
2005,301,Oct 2005
2005,246,Nov 2005
2005,235,Dec 2005
2006,294,Jan 2006
2006,174,Feb 2006
2006,242,Mar 2006
2006,345,Apr 2006
2006,451,May 2006
2006,268,Jun 2006
2006,284,Jul 2006
2006,324,Aug 2006
2006,311,Sep 2006
2006,405,Oct 2006
2006,294,Nov 2006
2006,275,Dec 2006
2007,256,Jan 2007
2007,238,Feb 2007
2007,292,Mar 2007
2007,277,Apr 2007
2007,343,May 2007
2007,239,Jun 2007
2007,301,Jul 2007
2007,438,Aug 2007
2007,282,Sep 2007
2007,290,Oct 2007
2007,259,Nov 2007
2007,216,Dec 2007
2008,185,Jan 2008
2008,220,Feb 2008
2008,195,Mar 2008
2008,182,Apr 2008
2008,214,May 2008
2008,185,Jun 2008
2008,269,Jul 2008
2008,231,Aug 2008
2008,191,Sep 2008
2008,155,Oct 2008
2008,162,Nov 2008
2008,183,Dec 2008
2009,80,Jan 2009
2009,67,Feb 2009
2009,75,Mar 2009
2009,70,Apr 2009
2009,96,May 2009
2009,83,Jun 2009
2009,86,Jul 2009
2009,84,Aug 2009
2009,58,Sep 2009
2009,77,Oct 2009
2009,81,Nov 2009
2009,66,Dec 2009
2010,92,Jan 2010
2010,637,Feb 2010
2010,919,Mar 2010
2010,251,Apr 2010
2010,185,May 2010
2010,126,Jun 2010
2010,118,Jul 2010
2010,115,Aug 2010
2010,115,Sep 2010
2010,99,Oct 2010
2010,93,Nov 2010
2010,87,Dec 2010
2011,118,Jan 2011
2011,131,Feb 2011
2011,86,Mar 2011
2011,111,Apr 2011
2011,86,May 2011
2011,123,Jun 2011
2011,111,Jul 2011
2011,77,Aug 2011
2011,73,Sep 2011
2011,111,Oct 2011
2011,100,Nov 2011
2011,82,Dec 2011
2012,84,Jan 2012
2012,93,Feb 2012
2012,110,Mar 2012
2012,99,Apr 2012
2012,108,May 2012
2012,92,Jun 2012
2012,77,Jul 2012
2012,133,Aug 2012
2012,129,Sep 2012
2012,102,Oct 2012
2012,124,Nov 2012
2012,102,Dec 2012
2013,107,Jan 2013
2013,83,Feb 2013
2013,96,Mar 2013
2013,100,Apr 2013
2013,101,May 2013
2013,102,Jun 2013
2013,124,Jul 2013
2013,117,Aug 2013
2013,117,Sep 2013
2013,129,Oct 2013
2013,145,Nov 2013
2013,132,Dec 2013
2014,150,Jan 2014
2014,108,Feb 2014
2014,324,Mar 2014
2014,530,Apr 2014
2014,190,May 2014
2014,166,Jun 2014
2014,149,Jul 2014
2014,111,Aug 2014
2014,141,Sep 2014
2014,186,Oct 2014
2014,132,Nov 2014
2014,120,Dec 2014
2015,130,Jan 2015
2015,138,Feb 2015
2015,171,Mar 2015
2015,109,Apr 2015
2015,133,May 2015
2015,125,Jun 2015
2015,124,Jul 2015
2015,119,Aug 2015
2015,735,Sep 2015
2015,279,Oct 2015
2015,269,Nov 2015
2015,207,Dec 2015
2016,158,Jan 2016
2016,160,Feb 2016
2016,155,Mar 2016
2016,253,Apr 2016
2016,149,May 2016
2016,161,Jun 2016
2016,171,Jul 2016
2016,150,Aug 2016
2016,144,Sep 2016
2016,139,Oct 2016
2016,160,Nov 2016
2016,189,Dec 2016
2017,282,Jan 2017
2017,238,Feb 2017
2017,292,Mar 2017
2017,546,Apr 2017
2017,268,May 2017
2017,278,Jun 2017
2017,133,Jul 2017
2017,141,Aug 2017
2017,144,Sep 2017
2017,122,Oct 2017
2017,147,Nov 2017
2017,147,Dec 2017
2018,126,Jan 2018
2018,104,Feb 2018
2018,109,Mar 2018
2018,156,Apr 2018
2018,130,May 2018
2018,135,Jun 2018
2018,135,Jul 2018
2018,116,Aug 2018
2018,147,Sep 2018
2018,145,Oct 2018
2018,133,Nov 2018
2018,136,Dec 2018
2019,143,Jan 2019
2019,102,Feb 2019
2019,128,Mar 2019
2019,120,Apr 2019
2019,125,May 2019
2019,117,Jun 2019
2019,109,Jul 2019
2019,133,Aug 2019
2019,135,Sep 2019
2019,111,Oct 2019
2019,125,Nov 2019
2019,127,Dec 2019
2020,148,Jan 2020
2020,108,Feb 2020
2020,128,Mar 2020
2020,154,Apr 2020
2020,142,May 2020
2020,119,Jun 2020
2020,161,Jul 2020
2020,116,Aug 2020
2020,187,Sep 2020
2020,150,Oct 2020
2020,142,Nov 2020
2020,190,Dec 2020
2021,161,Jan 2021
2021,146,Feb 2021
2021,129,Mar 2021
2021,144,Apr 2021
2021,156,May 2021
2021,145,Jun 2021
2021,178,Jul 2021
2021,144,Aug 2021
2021,221,Sep 2021
2021,140,Oct 2021
2021,127,Nov 2021
2021,144,Dec 2021
2022,145,Jan 2022
2022,112,Feb 2022
2022,148,Mar 2022
2022,161,Apr 2022
2022,156,May 2022
2022,141,Jun 2022
2022,166,Jul 2022
2022,138,Aug 2022
2022,148,Sep 2022
2022,168,Oct 2022
2022,136,Nov 2022
2022,158,Dec 2022
2023,136,Jan 2023
2023,150,Feb 2023
2023,142,Mar 2023
