"year","total","time"
2000,117,Jan 2000
2000,104,Feb 2000
2000,151,Mar 2000
2000,195,Apr 2000
2000,234,May 2000
2000,378,Jun 2000
2000,164,Jul 2000
2000,189,Aug 2000
2000,150,Sep 2000
2000,149,Oct 2000
2000,126,Nov 2000
2000,141,Dec 2000
2001,167,Jan 2001
2001,198,Feb 2001
2001,148,Mar 2001
2001,134,Apr 2001
2001,138,May 2001
2001,124,Jun 2001
2001,100,Jul 2001
2001,175,Aug 2001
2001,146,Sep 2001
2001,162,Oct 2001
2001,113,Nov 2001
2001,133,Dec 2001
2002,141,Jan 2002
2002,123,Feb 2002
2002,243,Mar 2002
2002,139,Apr 2002
2002,120,May 2002
2002,169,Jun 2002
2002,170,Jul 2002
2002,144,Aug 2002
2002,284,Sep 2002
2002,303,Oct 2002
2002,207,Nov 2002
2002,199,Dec 2002
2003,171,Jan 2003
2003,150,Feb 2003
2003,170,Mar 2003
2003,186,Apr 2003
2003,205,May 2003
2003,172,Jun 2003
2003,142,Jul 2003
2003,174,Aug 2003
2003,157,Sep 2003
2003,157,Oct 2003
2003,178,Nov 2003
2003,142,Dec 2003
2004,163,Jan 2004
2004,235,Feb 2004
2004,163,Mar 2004
2004,241,Apr 2004
2004,260,May 2004
2004,192,Jun 2004
2004,202,Jul 2004
2004,219,Aug 2004
2004,243,Sep 2004
2004,268,Oct 2004
2004,494,Nov 2004
2004,969,Dec 2004
2005,1522,Jan 2005
2005,443,Feb 2005
2005,762,Mar 2005
2005,1194,Apr 2005
2005,514,May 2005
2005,387,Jun 2005
2005,412,Jul 2005
2005,292,Aug 2005
2005,289,Sep 2005
2005,269,Oct 2005
2005,258,Nov 2005
2005,309,Dec 2005
2006,266,Jan 2006
2006,286,Feb 2006
2006,477,Mar 2006
2006,287,Apr 2006
2006,358,May 2006
2006,277,Jun 2006
2006,628,Jul 2006
2006,356,Aug 2006
2006,303,Sep 2006
2006,329,Oct 2006
2006,275,Nov 2006
2006,285,Dec 2006
2007,445,Jan 2007
2007,271,Feb 2007
2007,287,Mar 2007
2007,242,Apr 2007
2007,249,May 2007
2007,255,Jun 2007
2007,327,Jul 2007
2007,309,Aug 2007
2007,591,Sep 2007
2007,317,Oct 2007
2007,288,Nov 2007
2007,321,Dec 2007
2008,348,Jan 2008
2008,310,Feb 2008
2008,345,Mar 2008
2008,316,Apr 2008
2008,284,May 2008
2008,429,Jun 2008
2008,289,Jul 2008
2008,277,Aug 2008
2008,299,Sep 2008
2008,323,Oct 2008
2008,313,Nov 2008
2008,304,Dec 2008
2009,366,Jan 2009
2009,444,Feb 2009
2009,183,Mar 2009
2009,177,Apr 2009
2009,115,May 2009
2009,112,Jun 2009
2009,182,Jul 2009
2009,260,Aug 2009
2009,132,Sep 2009
2009,147,Oct 2009
2009,147,Nov 2009
2009,155,Dec 2009
2010,134,Jan 2010
2010,123,Feb 2010
2010,172,Mar 2010
2010,170,Apr 2010
2010,162,May 2010
2010,205,Jun 2010
2010,220,Jul 2010
2010,280,Aug 2010
2010,198,Sep 2010
2010,268,Oct 2010
2010,217,Nov 2010
2010,194,Dec 2010
2011,182,Jan 2011
2011,132,Feb 2011
2011,143,Mar 2011
2011,179,Apr 2011
2011,222,May 2011
2011,188,Jun 2011
2011,236,Jul 2011
2011,162,Aug 2011
2011,122,Sep 2011
2011,189,Oct 2011
2011,195,Nov 2011
2011,184,Dec 2011
2012,219,Jan 2012
2012,191,Feb 2012
2012,193,Mar 2012
2012,595,Apr 2012
2012,241,May 2012
2012,174,Jun 2012
2012,167,Jul 2012
2012,226,Aug 2012
2012,453,Sep 2012
2012,239,Oct 2012
2012,191,Nov 2012
2012,191,Dec 2012
2013,175,Jan 2013
2013,155,Feb 2013
2013,205,Mar 2013
2013,178,Apr 2013
2013,205,May 2013
2013,208,Jun 2013
2013,204,Jul 2013
2013,195,Aug 2013
2013,189,Sep 2013
2013,335,Oct 2013
2013,255,Nov 2013
2013,292,Dec 2013
2014,308,Jan 2014
2014,257,Feb 2014
2014,312,Mar 2014
2014,232,Apr 2014
2014,334,May 2014
2014,324,Jun 2014
2014,263,Jul 2014
2014,326,Aug 2014
2014,282,Sep 2014
2014,345,Oct 2014
2014,457,Nov 2014
2014,286,Dec 2014
2015,251,Jan 2015
2015,236,Feb 2015
2015,271,Mar 2015
2015,234,Apr 2015
2015,266,May 2015
2015,246,Jun 2015
2015,229,Jul 2015
2015,241,Aug 2015
2015,229,Sep 2015
2015,214,Oct 2015
2015,364,Nov 2015
2015,323,Dec 2015
2016,267,Jan 2016
2016,263,Feb 2016
2016,267,Mar 2016
2016,278,Apr 2016
2016,215,May 2016
2016,269,Jun 2016
2016,228,Jul 2016
2016,203,Aug 2016
2016,279,Sep 2016
2016,197,Oct 2016
2016,218,Nov 2016
2016,214,Dec 2016
2017,498,Jan 2017
2017,440,Feb 2017
2017,406,Mar 2017
2017,498,Apr 2017
2017,404,May 2017
2017,370,Jun 2017
2017,223,Jul 2017
